arm,model,mean_auc,std_auc,time_s,fold_1,fold_2,fold_3,fold_4,fold_5
Clinical,LogReg,0.6518,0.0378,0.31,0.6979,0.6596,0.5861,0.6747,0.6409
Clinical,RandForest,0.6034,0.0392,3.72,0.6803,0.5796,0.5835,0.5977,0.5758
Clinical,GradBoost,0.5847,0.0388,1.45,0.638,0.5671,0.5239,0.5841,0.6106
Clinical,SVM-RBF,0.6294,0.0476,0.49,0.709,0.6357,0.5809,0.6412,0.5799
Clinical,AutoML,0.654,0.0407,5.92,0.709,0.6596,0.5861,0.6747,0.6409
MRI Imaging,LogReg,0.6823,0.0378,0.99,0.7402,0.6976,0.6821,0.6667,0.6248
MRI Imaging,RandForest,0.7075,0.0538,7.17,0.7708,0.773,0.6815,0.666,0.646
MRI Imaging,GradBoost,0.6612,0.0248,30.02,0.7005,0.6493,0.648,0.6776,0.6306
MRI Imaging,SVM-RBF,0.7033,0.0557,1.01,0.748,0.7763,0.6944,0.6821,0.6157
MRI Imaging,AutoML,0.7139,0.0512,39.95,0.7708,0.7763,0.6944,0.6821,0.646
Combined,LogReg,0.6801,0.0359,0.97,0.737,0.6963,0.668,0.6712,0.628
Combined,RandForest,0.6943,0.0668,7.35,0.7467,0.7705,0.6989,0.677,0.5783
Combined,GradBoost,0.6523,0.0388,30.77,0.7174,0.6003,0.6615,0.6299,0.6525
Combined,SVM-RBF,0.7024,0.0549,1.0,0.7461,0.7763,0.6873,0.6847,0.6177
Combined,AutoML,0.7118,0.0443,40.26,0.7467,0.7763,0.6989,0.6847,0.6525
