group,n_features,total_shap,mean_shap,max_shap,pct_total
Muscle (generic),25,0.0678709524702133,0.002714838098808532,0.0080099656173222,13.746326421309243
Lateral Rectus,25,0.0657906202972313,0.002631624811889252,0.0108738263860412,13.324983798673845
Eyeball,25,0.0656117393034073,0.0026244695721362923,0.0120158297035146,13.288753917669125
Optic Nerve,25,0.0635867524778093,0.002543470099112372,0.007183143138472,12.878620732699641
Fat,25,0.0499011818837452,0.001996047275349808,0.0064711021363231,10.106796943569236
Medial Rectus,25,0.0428632455463265,0.00171452982185306,0.0039022088069396,8.681359894206917
Clinical,15,0.0419166942597921,0.00279444628398614,0.008446259311772,8.48964897096737
Inferior Rectus,25,0.0349129094041416,0.0013965163761656641,0.0029458942835167,7.071128833760705
Superior Rectus,25,0.0346550453297885,0.0013862018131915398,0.004349800867958,7.0189020178788715
Lacrimal Gland,25,0.0266296979729179,0.001065187918916716,0.002381061055923,5.393478469265043
